name,category,ticket_class,iso_code,members
WING,Solo,GBB23 top3,410,
ALEXINHO,Solo,GBB23 7toSmoke,250,
JULARD,Solo,GBB23 U18 1st,250,
KAJI,Solo,BEATLAND BEATBOX BATTLE,392,
MAXO,Solo,FLORIDA BEATBOX FESTIVAL 2024,100,
OSIS,Solo,Wildcard 1,372,
ABO ICE,Solo,Wildcard 2,682,
STEADY,Solo,Wildcard 3,410,
DEN,Solo,Wildcard 4,124,
PACMAX,Solo,Wildcard 5,250,
HELIUM,Solo,Wildcard 6,643,
IMPROVER,Solo,Wildcard 7,643,
STITCH,Solo,Wildcard 8,458,
JAIRO,Tag Team,GBB23 top3,392,"YAMORI, JOHN-T"
UMA,Tag Team,Wildcard 1,392,"SE-MA, DYU-TAR"
FRESH TONIC,Tag Team,Wildcard 2,250,"BOOKIE BLANCO, PACMAX"
FAKE AND AUTOTUNE,Tag Team,Wildcard 3,643,"TARAS STANIN, IMPROVER"
MICO,Tag Team,Wildcard 4,392,"MIZUKI, COLOA"
FUTURE MONSTER,Tag Team,Wildcard 5,364,"CJ, KARA"
ZIEGER,Tag Team,Wildcard 6,392,"YUICHI, YUSKE"
MATEJ,Loopstation,GBB23 top3,40,
DUNCAN,Loopstation,BEATLAND BEATBOX BATTLE,344,
[cancelled] BREZ,Loopstation,Wildcard 1,250,
JOSH O,Loopstation,Wildcard 2,840,
CARDONA,Loopstation,Wildcard 3,724,
SYJO,Loopstation,Wildcard 4,276,
YASWEDE,Loopstation,Wildcard 5,56,
RAJE,Loopstation,Wildcard 6,356,
808BANON,Loopstation,Wildcard 7,840,
SYJO,Producer,GBB23 1st,276,
ANTRIX,Producer,Wildcard 1,276,
KBA,Producer,Wildcard 2,208,
KAOS,Producer,Wildcard 3,276,
KOWLER RANGERS,Crew,Wildcard 1,250,"OSY, TUNECINOO, EPOCK, ÁELMIGHT"
MEONE,Crew,Wildcard 2,348,"KRISTÓF, RAPTOR, BLAZ, SHACKLE"
SOUND OF SONY Ω,Crew,Wildcard 3,392,"SHINYAAA, BLY CREPSLEY, FKD"
THE YOUNG DRUG,Crew,Wildcard 4,356,"WAH DA FU, KAWAI SENPAI, VINZAYN, ANI SAKTE"
BLACKROLL,Solo,GREAT NORTH BATTLE 2024,380,
[cancelled] ROGUE WAVE,Tag Team,GBB23 top3,250,"COLAPS, RIVER'"
[cancelled] ROFU,Tag Team,GBB23 top3,392,"HIRO, FUGA"
[cancelled] ROBIN,Loopstation,GBB23 top3,250,
[cancelled] BIZKIT,Loopstation,GBB23 top3,840,
[cancelled] SARUKANI,Crew,GBB23 1st,392,"SO-SO, RUSY, KAJI, KOHEY"
[cancelled] RIVER',Solo,GBB23 top3,250,
[cancelled] NAPOM,Solo,GBB23 top3,840,
